	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
1142	2212_0	the application also easy find maneuver much easy computer i ever	application	4--16	1	application the find easy
1880	2005_2	high quality killer gui extremely stable highly expandable bundle lot good application easy use absolutely gorgeous	application	118--130	1	application use good lot
1207	2314_0	applications open second no lag hiccup awkward moment wonder whether computer tea	applications	0--12	1	applications wonder
820	2408_1	mac also many apps program quite cheap free	program	27--35	1	apps cheap free also program many
1433	1812_1	the difference 's whole lot fun use laptop still learn apple navigation fun come lot cool apps	apps	141--145	1	apps come lot cool
813	2859_2	some feature arent friendly volume wheel sound quality etc	feature	5--13	-1	arent feature
777	8_0	overall laptop definitely keeper simple yet stylish design array fantastic color choose	design	72--78	1	array design
1068	1295_0	as usual customer service center ask hold moment go back office compare model netbooks discuss colleague i could see	customer service center	12--35	-1	ask customer center service usual
2287	2867_2	it easy use feature speed power i could ask	power	50--55	1	ask use speed feature power
215	1722_0	after talk knowledgeable sale associate i choose macbook pro white macbook	sale associate	50--65	1	associate knowledgeable after sale choose talk
695	411_0	asus facial recognition n't work windows logon n't either	facial recognition	5--23	-1	asus facial recognition
895	2437_0	pay attention spec want option	spec	21--26	0	attention spec want
488	2236_2	also may need charge day medium use every thing fast easy mac size look feature attract	feature	127--134	1	attract feature
1999	2236_1	also may need charge day medium use every thing fast easy mac size look feature attract	look	110--114	1	attract look
1877	2236_0	also may need charge day medium use every thing fast easy mac size look feature attract	size	101--105	1	attract size
764	722_1	other instal feature certain printer software also attractive	printer software	42--58	1	attractive certain printer feature software
1030	1890_0	laptop new condition operational audio problem 1st sent repair	audio	57--62	-1	audio 1st
138	1057_0	acer set free recovery disc available since i ask	recovery disc	29--43	1	available disc recovery free
367	1202_0	but big pain tech support not available 24 7	tech support	29--41	-1	available pain big support but tech 7
1696	154_1	the video card great medium average gaming not gamers first choice	medium	28--33	1	average medium
222	162_0	awesome cool system much good graft card ati 5870 8gb ram led backlit screen	cool system	10--24	1	awesome good system cool
1213	2257_0	awesome graphic	graphic	8--16	1	awesome graphic
1384	44_0	i regret buy understand awful use	use	59--62	-1	awful use understand
1306	259_0	they break often pcs reason n't get virus no one make virus 're not well way bad try find virus protection program mac n't exist	virus protection program mac	186--221	-1	bad protection get make virus n't mac program exist find
78	76_1	i even get teenage son one feature offer like ichat photobooth garage band	ichat	77--82	1	band ichat
1665	76_2	i even get teenage son one feature offer like ichat photobooth garage band	photobooth	84--94	1	band photobooth
2222	2470_1	its ease use top service apple phone assistance belly genius bar not beat	service	28--35	1	bar service
1346	675_0	10 plus hour battery	battery	17--24	1	battery 10 plus hour
1898	2572_0	very long life battery 10 11 hour depend configure power level setting	battery	15--22	1	battery 11 life
52	2159_0	the battery life also relatively good	battery life	4--16	1	battery also life good the
292	817_0	also battery not last long	battery	12--19	-1	battery also not last
1297	1455_0	also battery completely shot	battery	11--18	-1	battery also shot
868	2174_0	not mention battery life absolutely amazing	battery life	20--32	1	battery amazing life
113	2619_1	everything i try work i never carry wall charger cause battery awesome	battery	88--95	1	battery awesome
656	2975_0	the bad thing give bad battery possible	battery	55--64	-1	battery bad possible
1323	1752_0	however i may inadvertently throw one battery ship carton	battery	56--65	0	battery carton
2063	1923_0	eventually battery would n't charge unless i plug would n't even power	battery	14--21	-1	battery charge
1963	378_0	i could n't believe long battery last single charge	battery	32--39	1	battery charge believe long
662	1459_0	try charge different battery no luck	battery	38--47	-1	battery charge different
1911	3026_1	the first full charge battery get 2 full hour	full charge	10--21	-1	battery charge full hour
498	378_1	i could n't believe long battery last single charge	charge	59--65	1	battery charge last single
1528	445_0	battery life could good overall price toshiba 's reputation laptops 's great	battery life	0--12	-1	battery could life
505	271_0	macbook notebooks quickly die short battery life well many background program run without user 's knowledge	battery life	57--69	-1	battery die life short
82	115_0	the battery life battery completely die course leave much desire	battery life	4--16	-1	battery die the life
2005	115_1	the battery life battery completely die course leave much desire	battery	29--36	-1	battery die the life
400	464_1	they go ask open various component take battery hard disk apart 2 hour phone could not fix	hard disk	76--85	0	battery disk hard take
1374	1922_1	the battery life suppose 6 hour even i run battery high efficiency set battery would last average 2 5 3 hour	battery	71--78	0	battery efficiency life last
891	1922_2	the battery life suppose 6 hour even i run battery high efficiency set battery would last average 2 5 3 hour	battery	116--123	-1	battery efficiency life last
66	956_0	i send back find time battery faulty i get new one fix find	battery	46--53	-1	battery get find time
1640	2977_0	laptops usually use go not give good battery	battery	65--72	-1	battery good give
2093	1765_1	it lot memory great battery life	battery life	35--47	1	battery great life it
1225	1638_0	the battery life great	battery life	4--16	1	battery great life the
1238	1582_1	crisp screen great battery life plenty storage	battery life	20--32	1	battery great screen life
1804	1553_1	great battery speed display	speed	15--20	1	battery great speed display
193	464_0	they go ask open various component take battery hard disk apart 2 hour phone could not fix	battery	63--70	0	battery hard
1345	3031_0	i know 7 hr battery look like	battery	21--28	1	battery hr look 7
231	1458_0	battery irreplaceable	battery	6--13	-1	battery irreplaceable
1456	253_0	another issue i battery	battery	36--43	-1	battery issue
1064	566_0	pro macbook pro notebook large battery life wont worry charge laptop every five hour	battery life	44--56	1	battery laptop life
884	671_1	this nicely size laptop lot process power long battery life	battery life	69--81	1	battery laptop life long
1806	107_0	my laptop no battery	battery	21--28	-1	battery laptop no
1031	1471_0	and not mention use month battery slowly less less hold charge ca n't leave unplugged 5 minute without thing dying	battery	62--69	-1	battery less use hold month
1638	440_2	i love solid build light wt excellent battery life	battery life	47--59	1	battery life build excellent
554	1576_1	the display computer best i 've see long time battery life long continent	battery life	76--88	1	battery life continent long time
889	613_0	computer crash frequently battery life decrease quickly	battery life	33--45	-1	battery life decrease
1923	1686_0	another thing i might add battery life excellent	battery life	33--45	1	battery life excellent
1499	2387_1	screen awesome battery life good	battery life	19--31	1	battery life good awesome
472	2339_1	i charge night skip take cord good battery life	battery life	74--86	1	battery life good take
1057	356_0	great battery life	battery life	6--18	1	battery life great
1112	1549_0	has 5 6 hour battery life	battery life	15--27	0	battery life has hour 6
643	572_0	10 hour battery life really something else	battery life	12--24	1	battery life hour
396	2624_0	the battery life amazingly long 7hrs 5hrs use	battery life	4--16	1	battery life hrs the long
2029	2819_1	aside trial software short battery life lack webcam great	battery life	44--56	-1	battery life lack short
836	2471_0	suffice say macbook pro keep go long battery life blaze speed	battery life	63--75	1	battery life speed
588	2935_0	the battery life probably hour best	battery life	4--16	-1	battery life the hour best
478	1778_0	the battery life also n't keep claim still i think macbook much ahead rest pack	battery life	4--16	-1	battery life the keep
651	701_0	the battery life also n't keep claim still i think macbook much ahead rest pack	battery life	4--16	-1	battery life the keep
207	2381_0	still test battery life think would good happy upgrade	battery life	18--30	-1	battery life think
390	571_0	convenient travel battery life excellent	battery life	40--52	1	battery life travel excellent
1992	1689_0	it good know i mobilize without worry battery life	battery life	73--85	1	battery life without know worry
2085	1895_2	overall i feel netbook poor quality poor performance although great battery life work	battery life	95--107	1	battery life work great
1603	245_0	it light battery last long time	battery	20--27	1	battery light it
1353	1089_0	well i spill something replace model get hot battery n't make 1 dvd	battery	92--99	-1	battery make hot
1250	903_0	they give hard time yet malfunction battery n't die	battery	71--78	-1	battery malfunction die n't
2267	2991_0	battery life need life	battery life	0--12	-1	battery need life
1187	2735_0	needs longer lasting battery more 1 2 hrs	battery	21--28	-1	battery needs longer lasting
860	2992_0	battery not upgradable longer life battery	battery	0--7	-1	battery not life longer upgradable
1442	2992_1	battery not upgradable longer life battery	battery	43--50	-1	battery not life longer upgradable
243	1569_0	lightweight long battery life excellent transition pc	battery life	18--30	1	battery pc life long lightweight
206	2385_0	i 've impress battery life performance small amount memory	battery life	29--41	1	battery performance life
946	2385_1	i 've impress battery life performance small amount memory	performance	50--61	1	battery performance life impress memory
1261	593_0	after couple year battery life begin diminish replace free due company wide recall particular battery	battery	131--138	-1	battery recall life particular
104	255_0	there small red circle next x middle i click say consider replace battery not hold full charge	battery	121--128	0	battery replace
1824	1752_1	however i may inadvertently throw one battery ship carton	ship carton	75--90	0	battery ship carton throw one
994	3030_0	it 's bad i 'm think i get half battery something	battery	48--55	-1	battery something
1680	1553_0	great battery speed display	battery	6--13	1	battery speed
1407	26_0	the battery life amazing versatility outstanding	battery life	4--16	1	battery the amazing life
287	171_0	the battery get hot scary	battery	4--11	-1	battery the get
684	1088_0	a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service	battery	30--37	-1	battery the involves advertised
969	2966_0	the downfall battery last 1 5 2 0 hr not plug	battery	25--32	-1	battery the last downfall
1440	274_0	the little battery would last hour desktop	battery	11--18	-1	battery the last little
672	1963_0	the battery life short expect	battery life	4--16	-1	battery the life expect
15	667_0	the battery really long	battery	4--11	1	battery the long
981	170_0	the battery never work well	battery	4--11	-1	battery the never
1512	2009_0	the battery never hold charge long one hour within two month stop hold charge ten minute	battery	6--13	-1	battery the never
1931	90_0	the battery never hold charge long one hour within two month stop hold charge ten minute	battery	4--11	-1	battery the never
129	2923_0	the battery life seem good no issue	battery life	4--16	1	battery the seem life
1573	2948_0	the thing battery wo n't last 1 2 hour	battery	27--34	-1	battery thing the last
1336	3027_0	enabling battery timer useless	battery timer	13--26	-1	battery useless timer
812	2311_0	the battery hold well 's build solidly run fast	battery	4--11	1	battery well
1015	1130_1	after replace hard drive battery stop work 3 month use frustrate	battery	35--42	-1	battery work
1935	459_1	after replace hard drive battery stop work 3 month use frustrate	battery	35--42	-1	battery work
1054	1676_0	another great thing beast graphic	beast graphic	27--41	1	beast thing great graphic another
204	3022_0	it 's still beautiful good color reproduction i could ever expect notebook	color reproduction	36--54	1	beautiful good 's color it expect reproduction still
2150	1746_0	screen keyboard mouse if cant see spend extra money jump mac beautiful screen responsive island backlit keyboard fun multi touch mouse worth extra money alone	screen	0--6	0	beautiful island screen mouse see
1242	1746_2	screen keyboard mouse if cant see spend extra money jump mac beautiful screen responsive island backlit keyboard fun multi touch mouse worth extra money alone	screen	113--119	1	beautiful island screen mouse see
600	81_0	lightweight screen beautiful	screen	20--26	1	beautiful screen
696	3019_0	the unibody construction solid sleek beautiful	unibody construction	4--24	1	beautiful unibody the construction
1179	973_0	with i know computer work beautiful	work	44--49	1	beautiful work computer
920	1748_0	typing keyboard become uncomfortable extend use due sharp edge wrist rest	keyboard	14--22	-1	become typing extend keyboard
150	1730_0	its small enough i take pretty much anywhere still big enough screen get everything	screen	86--92	1	big screen enough get
1085	2494_0	the big screen allow enjoy watch movie picture etc	screen	8--14	1	big screen the allow
200	2636_0	key binding take little get use love macbook pro	key binding	4--16	-1	binding take key
313	997_1	drivers update ok bios update freeze system computer shut	bios update	27--38	-1	bios drivers computer ok update
1580	756_0	pc never work right even bios fix	bios	33--37	-1	bios fix
707	1254_0	after numerous attempt try include set clock bios setup directly i give i techie	clock bios setup	57--76	-1	bios setup set clock give
218	755_0	summary hp know ship bad bios nothing proactive resolve	bios	44--48	-1	bios ship bad
614	1001_0	but sadly replacement froze up update bios shut would not turn back	bios	54--58	-1	bios shut update
1773	536_1	i sorry disappointed discover hp i think reputable company would n't honor warrenty fan blade fell apart	fan blade	122--131	-1	blade fan fell warrenty
1209	536_0	i sorry disappointed discover hp i think reputable company would n't honor warrenty fan blade fell apart	warrenty	104--112	-1	blade warrenty
486	607_0	ton bloatware junk program	program	27--35	-1	bloatware junk program ton
513	1041_0	loaded bloatware	bloatware	12--21	0	bloatware loaded
448	1567_0	but i blow away feature laptop offer	feature	47--55	1	blow away feature but offer
2102	763_0	summary i 've laptop 2 month blue power adapter stop work	power adapter	64--77	-1	blue adapter stop power
939	1068_1	i reload windows 7 ultimate bluetooth fingerprint reader software would not load	bluetooth	44--53	-1	bluetooth software
1941	1417_0	the board bad connector power supply shortly warrenty expire power supply start issue	board	6--11	-1	board supply
174	2660_0	the body bit cheaply make interesting see long hold	body	4--8	-1	body bit
1588	2443_0	boots fast run great	boots	0--8	1	boots fast
1319	1058_0	but i receive replacement i make both recovery dvds 4 driver application dvd	recovery dvds	48--61	0	both recovery receive dvds make dvd
2089	2083_1	it 's price reasonable work well right box	work	32--37	1	box 's price work it reasonable
1560	969_0	the big problem box no instruction	instruction	43--55	-1	box instruction no
789	1226_0	i call repair depot tell would send me new box return computer repair depot	repair depot	15--27	0	box repair return send computer new depot tell
775	1226_1	i call repair depot tell would send me new box return computer repair depot	repair depot	99--111	0	box repair return send computer new depot tell
98	462_0	unable boot brand new laptop	boot	10--17	-1	brand boot
574	3085_1	i look around base price feature comparison brand i trust i land	feature	39--47	0	brand land feature look
1541	2718_0	i 've laptop less two month already mouse button break	mouse button	61--73	-1	break button already mouse month
36	781_0	the dvd burner break burn 3 dvd 'd time	dvd burner	4--14	-1	break dvd 3 burner time
2126	626_0	now main board break wait new one	main board	4--13	-1	break main now board
289	2938_0	i wish volume could loud mouse didnt break month	volume	11--17	-1	break volume i wish
2123	982_2	then i 've fix dc jack inside unit rewire dc jack outside laptop replace power brick	power brick	112--123	0	brick power replace
107	1110_0	going bring service today	service	21--28	0	bring service
1691	655_0	it truly great computer cost less one thousand buck tax	cost	30--37	1	buck thousand cost computer
295	1548_1	apparently well built gorgeous look i5 macbook pro win combination price performance	performance	104--115	1	built combination win pro i5 price performance macbook
507	1887_0	returned laptop repair 2nd time come back obvious physical damage keyboard bulging speaker grill press button not work usb port inoperative	keyboard	85--93	-1	bulging damage obvious keyboard come physical
1147	1126_2	the screen frame half full inch margin obviously unnecessary reduce screen size increase bulk	bulk	125--129	-1	bulk increase screen reduce size
1165	1129_2	did i mention everything size weight keyboard scream bulk	keyboard	58--66	-1	bulk keyboard
1779	1126_0	the screen frame half full inch margin obviously unnecessary reduce screen size increase bulk	screen	4--10	-1	bulk screen the frame
2213	1126_1	the screen frame half full inch margin obviously unnecessary reduce screen size increase bulk	screen size	95--106	-1	bulk screen the frame size
2252	2780_1	there no number pad right keyboard bummer	keyboard	43--51	-1	bummer keyboard
2039	2219_1	the touchpad intuitive much i never want use button click	button	68--75	0	button click
263	2836_1	mouse pad left button always stick	leave button	26--37	-1	button stick
55	2336_0	i buy cordless mouse n't always take	cordless mouse	11--25	1	buy always cordless n't take mouse
61	926_0	but guess buy external dvd drive n't build type the notebook ca n't use n't read anything external drive	external dvd drive	37--55	-1	buy anything read dvd drive n't build external
316	926_1	but guess buy external dvd drive n't build type the notebook ca n't use n't read anything external drive	external drive	156--170	-1	buy anything read dvd drive n't build external
933	2306_0	overall would recommend anybody tell want burn music play video game buy cd drive	cd drive	130--138	0	buy drive cd
1769	1142_0	and one point blame instal bad memory stick i upgrade memory first time purchase laptop i buy memory stick recommend	memory	86--92	0	buy i bad upgrade stick memory instal
1393	1142_1	and one point blame instal bad memory stick i upgrade memory first time purchase laptop i buy memory stick recommend	memory stick	55--67	-1	buy i recommend blame bad upgrade stick memory instal
1706	1142_2	and one point blame instal bad memory stick i upgrade memory first time purchase laptop i buy memory stick recommend	memory stick	159--171	0	buy i recommend blame bad upgrade stick memory instal
2176	2308_0	the objection i buy window 7 system starter charge upgrade	window 7 system	55--71	-1	buy objection system i window upgrade 7 the
818	1495_0	the mac version microsoft office cheap buy actual work well	mac version microsoft office	4--35	1	buy office mac version the microsoft
2084	1418_0	toshiba aware issue unless extended warrenty buy toshiba nothing	extend warrenty	47--64	-1	buy warrenty extended
1423	1876_0	i already hp laptop i buy last year 's standard size	size	62--66	0	buy year standard size
1124	1657_0	theres build camera special effects video photography	build camera	9--24	1	camera build effects theres
2288	2497_2	but 's application call boot camp allow add another os x like windows	boot camp	36--45	0	camp boot allow
2008	1036_0	you toss wifi card replace sort network capability	network capability	75--93	-1	capability sort network replace
898	1769_0	the internet capability also strong pick signal easily	internet capability	4--25	1	capability the internet strong pick
622	2791_2	most everything fine machine speed capacity build	build	60--65	1	capacity fine build
1936	2511_0	bigger hd good graphic card bid hd	hd	7--9	1	card bid bigger hd
1441	2511_1	bigger hd good graphic card bid hd	hd	43--45	1	card bid bigger hd
1725	676_0	super fast processor really nice graphic card	processor	11--20	1	card super processor fast nice
1027	2563_0	getting apple care plan must	apple care plan	12--27	1	care apple plan must
931	1284_0	thus carry slanted angle screen topple slide understand i mean	screen	48--54	-1	carry angle screen slanted
67	1964_0	this computer challenging carry handle	carry	36--41	-1	carry computer handle
276	2338_0	i take everywhere 's easy carry	carry	53--58	1	carry everywhere take easy
102	1964_1	this computer challenging carry handle	handle	46--52	-1	carry handle
2292	377_0	awesome laptop perfect size carry around college	size	31--35	1	carry perfect awesome laptop size
719	1962_0	it heavy bulky hard carry size	size	53--57	-1	carry size
1240	2748_0	easy carry take anywhere hook printer headset	carry	8--13	1	carry take easy
2309	741_0	small enough use long flight light enough carry airport powerful enough replace desktop long business trip	carry	54--59	1	carry use replace
465	2830_2	now i order i not go full scale webcam full keyboard i want something basic easy carry i use crutch wheelchair backpack laptop bag	carry	120--125	1	carry use something want
725	23_1	the laptop lightweight easily carry around knapsack full text book barely add weight	weight	112--118	1	carry weight
2247	2647_0	the case carve single block aluminum	case	4--8	0	carve case the
1339	394_2	the leather carry case keyboard mouse arrive two day memphis warehouse	mouse	40--45	0	case arrive mouse keyboard
2103	354_0	the system constantly overheat battery life short case come apart core application i use every day work graphic artist run poorly	battery life	37--49	-1	case battery life
1099	354_3	the system constantly overheat battery life short case come apart core application i use every day work graphic artist run poorly	system	4--10	-1	case constantly system
428	2430_0	had trouble find case would fit	case	27--31	-1	case fit
1654	394_0	the leather carry case keyboard mouse arrive two day memphis warehouse	leather carry case	4--25	0	case leather carry the arrive mouse
1556	354_1	the system constantly overheat battery life short case come apart core application i use every day work graphic artist run poorly	case	68--72	-1	case life short overheat battery system the come
1362	2288_0	wonderful sleek case design outside	case design	16--27	1	case outside wonderful design sleek
850	1602_0	if n't feel comfortable buy case happy plus look nice i buy white one best buy	case	62--66	1	case plus
1082	963_1	another three week later i laptop back new mousepad key casing	key	70--74	0	casing key
