	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
18	2063_0	web access through the 3g network is so slow it s very frustrating and very disappointing	3g network	23--33	-1	access through the 3g network is so slow	0.0
19	2142_0	everything about a mac is wonderful it takes a little used to learning and getting used to the new system but you will learn fast and its all worth it	system	100--106	0	takes little used to learning used to the new system	0.0
20	3074_0	the screen is bright and the keyboard is nice	screen	4--10	1	the screen is bright and keyboard is nice	1.0
21	1852_0	after that the said it was under warranty	warranty	35--43	0	said it was under warranty	0.0
22	3042_2	hard disk the new editions gives you more hard disk space 500gb instead of 320gb but time has taught me never to trust an internal hard disk	internal hard disk	126--144	0	hard disk new editions gives more hard disk taught trust an internal hard disk	1.0
23	2305_0	the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have	cd drive	37--45	-1	has no cd drive	-1.0
24	1370_0	when we bought our new hp computer in dec of 2008 we wanted windows xp but were told it would cost an extra $159 so we went with vista	vista	133--138	0	went with vista	0.0
25	130_0	but now i have realized its a problem with this brand	brand	48--53	-1	problem with this brand	-1.0
26	395_0	the computer was two weeks late in delivery because hp forgot to complete the required import paperwork	delivery	35--43	-1	computer was late in delivery forgot	0.0
27	773_0	i m tired of the inept service	service	23--30	-1	i m tired of the inept service	-1.0
28	2516_1	great pick for portability and affordability	affordability	31--44	1	portability affordability	0.0
29	99_0	after way too many times sending the thing in for repairs delivery service was slow and without the laptop i had no access to the internet and thus no way of tracking it to find out when i might hope to see my computer again it finally kicked the bucket after just over 2 years	delivery service	59--75	-1	way thing in for repairs delivery service was slow and had and way	0.0
30	1770_0	it has far exceeded my expectations for power storage and ability	power	40--45	1	exceeded for power storage and ability	1.0
31	1187_0	another included program that is laughable is the chess game	included program	8--24	-1	another included program that is laughable is game	1.0
32	1376_1	it seems they could have updated xp and done without creating vista	vista	62--67	-1	creating vista	1.0
33	460_0	then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running	charger	30--37	-1	the charger stopped	-1.0
34	2112_0	even out of warranty	warranty	12--20	0	out of warranty	0.0
35	1710_0	the macbook is also made better my computer has never got a virus and the laptop runs just as fast as the first day i bought it	runs	83--87	1	made laptop runs bought	0.0
36	781_0	the dvd burner broke after burning 3 dvd d during that time	dvd burner	4--14	-1	the dvd burner broke burning 3 dvd	-1.0
37	1372_3	we have had numerous problems with vista such as adobe flash player just quits and has to be uninstalled and then reinstalled internet explore just quits and you lose whatever you were working on also the same windows update has appeared on this computer since we got it and has been updated probably 400 times the same update	windows update	215--229	-1	such as flash the same windows update appeared the same update	0.0
38	387_0	the keyboard is slick and quiet and not bulky like some other laptops i have had in the past	keyboard	4--12	1	the keyboard is slick and quiet and not bulky other laptops	0.0
39	388_3	the processor is very quick and effective as i load webpages and applications	webpages	52--60	0	quick and effective load webpages and applications	1.0
40	2226_0	now i have the best of both worlds with all of the power and ease of the mac	power	51--56	1	the of all of the power and ease of the mac	1.0
41	286_0	the display is beyond horrible	display	4--11	-1	the display is beyond horrible	-1.0
42	2644_2	it s so much easier to navigate through the operating system to find files and it runs a lot faster	navigate	23--31	1	easier to navigate system to	1.0
43	1186_0	and if you do a lot of writing editing is a problem since there is no forward delete key	delete key	80--91	-1	is is no forward delete key	-1.0
44	961_0	this time the mouse pad and right click key wouldn t work	mouse pad	16--25	-1	time the mouse pad and click key work	0.0
45	2071_1	so i called customer support which is good too and they went through it and it is just a safety feature and it does not affect performance at all i just chose to hide the message	performance	129--140	0	affect performance	0.0
46	2711_0	seems to slow down occasionally but can run many applications ie internet tabs programs etc simultaneously	applications	50--62	1	run many applications tabs programs etc simultaneously	0.0
47	2558_0	we figure that after everything his pc actually ended up costing $350 more than my original mac	costing	57--64	-1	ended costing original mac	1.0
48	2752_1	i am using the external speaker sound is good	sound	33--38	1	using the external speaker sound is good	1.0
49	1576_0	the display on this computer is the best i ve seen in a very long time the battery life is very long and very continent	display	4--11	1	the display computer is ve very long time life is very long and very continent	0.0
50	2435_0	i was disappointed when i realized that the keyboard doesn t light up on this model	keyboard	44--52	-1	keyboard t	0.0
51	1399_0	the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side	graphics	4--12	-1	the graphics are awful and the switch the the the	-1.0
52	2159_0	the battery life is also relatively good	battery life	4--16	1	the battery life is also relatively good	1.0
53	2863_0	the price and features more than met my needs	price	4--9	1	the price and features met	0.0
54	2594_0	it made the computer much easier to use and navigate	use	36--39	1	made to use and navigate	0.0
55	2336_0	i bought a cordless mouse for it but don t always take it out	cordless mouse	11--25	1	bought a cordless mouse	0.0
56	1570_0	company provides ups shipping fast great	shipping	21--29	1	ups shipping fast great	1.0
57	1088_1	a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service	service	140--147	-1	of hours hours of service	0.0
58	1599_0	i do not experience a lot of heat coming out of it however i would highly suggest purchasing a stand however due to the nature of the design of the macbook as it is one very large heat sink	stand	96--101	0	a purchasing a stand	0.0
59	1969_0	i also like the acer arcade but these were really the only two things i liked about this laptop	acer arcade	16--27	1	like the acer arcade the	1.0
60	2622_1	reason why it s because when you buy it you know first thing that you will not lose any value for that laptop the price will stay the same for the next year and even if apple does decides to change mode your laptop value will only drop 10 20% unlike pc laptops which drop more than 80%	price	117--122	1	the price stay the same the	0.0
61	926_0	but guess what you have to buy an external dvd drive it doesn t have a built in type the notebook can t be used because it doesn t read anything for an external drive	external dvd drive	37--55	-1	buy an external dvd drive it it anything for an external drive	0.0
62	1986_0	i had to re install windows within two weeks of the purchase and soon discovered cracks in the screen hinges	windows	20--27	-1	install windows weeks	0.0
63	2837_0	the mouse is way way way to sensitive	mouse	4--9	-1	the mouse is way way way to sensitive	0.0
64	1691_1	the paint wears off easily due to the keyboard being farther back than usual	keyboard	38--46	-1	wears easily due to the keyboard back than usual	1.0
65	878_0	the tech store i purchased this from sent it back eventually i got a new or repaired machine approximately 3 weeks later	tech store	4--14	-1	the tech store purchased got	0.0
66	956_0	i sent it back and found this time that the battery was faulty so i got a new one and some other fixes they found	battery	46--53	-1	found that the battery was faulty found	-1.0
67	1964_0	this computer was so challenging to carry and handle	carry	36--41	-1	computer was so challenging to carry and handle	1.0
68	367_0	i am addicted to photo booth	photo booth	17--28	1	addicted to photo booth	0.0
69	1716_1	there was a little difficulty doing the migration as the firewire cable system can t be used with the ibook	ibook	102--107	0	the the used with the ibook	0.0
70	80_0	great laptop that offers many great features	features	36--44	1	offers many great features	1.0
71	712_0	i love my apple it is quick and easy to use	use	41--44	1	love it is quick and easy to use	1.0
72	1192_1	the other lock up problems are from a myriad of causes the most common being a corrupted version of appleworks which can render the browser useless	browser	133--140	-1	the most common corrupted version render the browser useless	-1.0
73	2574_0	i play a lot of casual games online and the touchpad is very responsive	touchpad	45--53	1	play the touchpad is very responsive	1.0
74	1819_2	it didn t come with any software installed outside of windows media but for the price i was very pleased with the condition and the overall product	price	81--86	1	didn for the price i was very pleased the condition the	1.0
75	1399_1	the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side	wireless switch	31--46	-1	the graphics are awful and the wireless switch it the top the it the	-1.0
76	1377_0	you know using the computer should be fun not aggravation especially when you are playing games or working with photos	playing games	85--98	0	know when you are playing games or working	1.0
77	1582_0	crisp screen great battery life and plenty of storage	screen	6--12	1	crisp screen great life and plenty	1.0
78	76_1	i even got my teenage son one because of the features that it offers like ichat photobooth garage band and more	ichat	77--82	1	features like ichat photobooth band and more	1.0
79	277_0	the internet was locked and froze every time it was trying to be used and the command prompt would not work at all	internet	4--12	-1	the internet locked	0.0
80	207_1	learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on windows machines	shortcuts	93--102	0	learning all of the keyboard shortcuts of the shortcuts are the same machines	0.0
81	2214_0	the program came with the computer and works beautifully	program	4--11	1	the program came	0.0
82	115_0	the battery life before the battery completely died of course left much to be desired	battery life	4--16	-1	the battery life the battery died left much to be desired	-1.0
83	2909_0	have had many higher priced computers crash and burn long before ever got to use all that great memory and speed etc	memory	96--102	-1	use all that great memory	1.0
84	2808_3	cords coming out the right for power plus cords coming out front for headphones mic plus network connection on left make for a very messy setup with cords going every direction	mic	80--83	-1	coming for plus coming for headphones mic plus connection left for	0.0
85	2649_1	the processor screams and because of the unique way that apple osx 16 functions most of the graphics are routed through the hardware rather than the software	osx 16	64--70	1	unique way that apple osx 16 functions	0.0
86	634_0	i respond that i do not have the old computer and this way i would lose the data on my hard drive	hard drive	87--97	-1	lose on my hard drive	-1.0
87	1259_0	acer was no help and garmin could not determine the problem after spending about 2 hours with me so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem	software	200--208	1	all of my software	0.0
88	2918_0	if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor	ports	68--73	0	find the with the above missing ports and dual amd	-1.0
89	779_0	this is my first dell i heard their customer service was lacking and that they were working on improving it	customer service	36--52	-1	their customer service lacking	0.0
90	1937_0	i got it back and my built in webcam and built in mic were shorting out anytime i touched the lid mind you this was my means of communication with my fiance who was deployed but i suffered thru it and would constantly have to reset the computer to be able to use my cam and mic anytime they went out	built in webcam	21--36	-1	and my built in webcam and built in mic my my and my and mic	0.0
91	1378_0	windows also shuts the computer down for no reason without warning	windows	0--7	-1	windows shuts	0.0
92	2561_2	i wish iwork or ms office came with the mac but ms office doesn t even come with most pc laptops	ms office	49--58	-1	iwork ms office ms office doesn	0.0
93	2573_1	i upgraded the memory and replaced the base windows 7 starter to win 7 home and it runs just fine	windows 7 starter	44--61	0	the replaced the base windows 7 starter 7 home	0.0
94	2447_0	its fast has high definition quality in the videos	high definition quality	14--37	1	has high definition quality videos	0.0
95	899_0	the computer itself was fast ran smoothly and had no problems	ran	30--33	1	computer itself was fast ran smoothly and had	0.0
96	908_0	also my sister got the exact same laptop since they were so cheap and after 8 months the screen split in half just from everyday use	screen	93--99	-1	the the screen split	0.0
97	1812_0	the difference is it s a whole lot of fun using the laptop now still learning the apple navigation but is fun and comes with a lot of cool apps	apple navigation	83--99	0	the learning the apple navigation	0.0
98	462_0	unable to boot up this brand new laptop	boot up	10--17	-1	unable to boot up new laptop	0.0
99	678_1	and plenty of storage with 250 gb though i will upgrade this and the ram	ram	69--72	0	this the ram	0.0
100	2510_0	waiting for the i7 was well worth it great value for the price	price	58--63	1	for the great value for the price	1.0
101	120_0	the dvd drive randomly pops open when it is in my backpack as well which is annoying	dvd drive	4--13	-1	the dvd drive pops open	0.0
102	1964_1	this computer was so challenging to carry and handle	handle	46--52	-1	challenging carry handle	1.0
103	1696_1	the size is perfect and i do not recommend anything bigger except for any person who can exceed the limited space it gives you	space	107--112	-1	exceed the limited space gives	-1.0
104	255_0	there is a small red circle next to it with a x in the middle and when i click on it it says consider replacing your battery and it does not hold full charge	battery	121--128	0	replacing your battery	0.0
105	3062_2	the screen is nice and the images comes very clear the keyboard and the fit just feels right	fit	73--76	1	the the keyboard the fit	1.0
106	38_1	in the shop these macbooks are encased in a soft rubber enclosure so you will never know about the razor edge until you buy it get it home break the seal and use it very clever con	edge	108--112	-1	the know about the razor edge the	0.0
107	1110_0	going to bring it to service today	service	21--28	0	to bring to service today	0.0
108	219_0	the macbooks are small enough to be very portable yet hold tons of information and performance	performance	83--94	1	information performance	0.0
109	2933_0	the graphics are great	graphics	4--12	1	the graphics are great	1.0
110	3047_0	beware their staff could send you back making you feel that only they know what a computer is	staff	15--20	-1	their staff send	0.0
111	2540_1	the programs are say to use and are quick to process this computer works like a charm	use	25--28	1	are say to use are quick to process	0.0
112	2680_0	again decent comp for the price and i was in need of one quickly as my other laptop died on me	price	27--32	1	decent comp for the price and i	0.0
113	2619_1	everything i have tried has worked and i never have to carry the wall charger cause the battery is so awesome	battery	88--95	1	the cause the battery is so awesome	1.0
114	388_2	the processor is very quick and effective as i load webpages and applications	load	47--51	1	processor is very quick and effective as i load webpages and	1.0
115	1225_0	the computer was shipped to their repair depot on june 24 and returned on july 2 seems like a short turn around time except the computer was not repaired when it was returned	repair depot	34--46	0	shipped to their repair depot	0.0
116	2603_0	i am most impressed with the programming including the iphoto	programming	29--40	1	i am most impressed with the programming the iphoto	1.0
117	1152_0	then the hard drive failed	hard drive	9--19	-1	then the hard drive failed	-1.0
118	2242_0	the graphics are stunning	graphics	4--12	1	the graphics are stunning	1.0
119	1174_1	i also purchased applecare for $300 which is a three year extended warranty since i ve never seen any laptop that lasted more than two	extended warranty	63--80	0	year extended warranty seen	0.0
120	2380_1	previous laptops were pc s still have them but the mac osx is a clean and smooth operating system	operating system	83--99	1	pc osx is a clean and smooth operating system	1.0
121	2541_2	the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozilla firefox i love every single bit about it	mozilla firefox	110--125	1	i i i mozilla firefox i	0.0
122	331_1	it has a 10 hour battery life when you re doing web browsing and word editing making it perfect for the classroom or office and in terms of gaming and movie playing it ll have a battery life of just over 5 hours	battery life	180--192	1	has a 10 hour battery life re have a battery life hours	0.0
123	3041_0	processor when compared to my 3 week old early 2011 edition there i barely experience any difference in performance 2 3 ghz v s 2 4 ghz	processor	0--9	0	processor experience ghz ghz	0.0
124	1776_0	the macbook arrived in a nice twin packing and sealed in the box all the functions works great	twin packing	30--42	1	arrived in a nice twin packing in	1.0
125	1438_4	externally the keys on my keyboard are falling off after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit and the screen has a terrible glare	paint	73--78	-1	the the paint rubbing the the the the	0.0
126	455_1	itunes is a handy music management program and it is essential for anyone with an ipod	program	35--42	1	itunes is a handy music management program and it is essential anyone	0.0
127	1358_0	because we did not purchase the extended warranty in time we are on the hook for the repair	extended warranty	32--49	-1	purchase the extended warranty the the	0.0
128	2672_0	the price is great for this model i only plan on using it for media in the entertainment room	price	4--9	1	the price is great model plan	1.0
129	2923_0	the battery life seems to be very good and have had no issues with it	battery life	4--16	1	the battery life seems to be very good and had	1.0
130	1028_0	or the cursor would show up some place else	cursor	7--13	-1	the cursor show	0.0
131	98_0	it took several weeks just to get them to acknowledge that i owned the warranty	warranty	71--79	-1	owned the warranty	0.0
132	2974_0	it runs very quiet too which is a plus	runs	3--7	1	it runs very quiet too plus	0.0
133	2004_1	if you really want a bang up system and don t need to run windows applications go with an apple	windows applications	58--78	0	run windows applications	0.0
134	1457_0	i must keep it plugged in at all times because it will not keep a charge for longer than four minutes	charge	68--74	-1	keep keep a charge	0.0
135	1992_1	anyway in early july of this year the dvd burner stopped working and the computer stared having issues with power supply	power supply	111--123	-1	having with power supply	0.0
136	1717_1	the ibook backup also uses a firewire connection	firewire connection	31--50	0	uses a firewire connection	0.0
137	1172_0	i ordered through macmall which saved me the sales tax i would have incurred buying locally	sales tax	46--55	1	saved the sales tax incurred	1.0
138	1057_0	acer has set me up with free recovery discs when they are available since i asked	recovery discs	29--43	1	up with free recovery discs	1.0
139	1733_0	games being the main issue	games	0--5	-1	games main issue	0.0
140	1366_1	after the warrenty expired the hard drive went bad and it would have cost more to fix then to replace	hard drive	33--43	-1	the expired the hard drive	-1.0
141	1796_0	despite the claims of the apple apologists a vice of which i am recently myself reformed the internals of mac laptops are no different from pcs at this point	internals	95--104	-1	the claims the the internals laptops are no different pcs	-1.0
142	552_0	overall poor features average performance poor battery life excellent price value poor	features	16--24	0	features average	0.0
143	1587_0	it is in the best condition and has a really high quality	quality	50--57	1	has a really high quality	0.0
144	697_0	the 13 macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product	shipping	57--65	1	budget and with free shipping and tax	1.0
145	1740_1	the material this pro is made out of seems a lot nicer than any pc specs like i said this performs a lot better than any computer i ve had in the past	specs	68--73	-1	any pc specs said any	0.0
146	2795_0	at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again	system board	51--63	-1	so then the system board then the so	0.0
147	1867_2	i think part of the problem with this computer is vista yet i know vista isn t the entire issue because my latest purchase was my acer and it also has vista i should have waited the few months to get the next operating system	operating system	211--227	0	the the the get the next operating system	0.0
148	1928_1	after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard	motherboard	114--125	0	a the motherboard failed installed a new motherboard	-1.0
149	2093_0	i love a pc but i was ready for a change and tired of the windows system	windows system	60--74	-1	ready tired of the windows system	-1.0
150	1730_0	its small enough where i can take it pretty much anywhere but still has a big enough screen to get everything done	screen	86--92	1	small enough take has a big enough screen get	0.0
151	1149_0	i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive	operating systems	93--110	-1	the crashing the designed operating systems that were never very intuitive	0.0
152	490_0	but sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars	adding the bluetooth	55--75	-1	charged for adding the bluetooth	-1.0
153	260_0	oh yeah and if the fancy webcam breaks guess who you have to send it to to get it fixed	webcam	26--32	-1	the fancy webcam breaks	0.0
154	392_0	i custom ordered the machine from hp and could not understand the techie due to his accent	techie	66--72	-1	the understand the techie due accent	0.0
155	1366_0	after the warrenty expired the hard drive went bad and it would have cost more to fix then to replace	warrenty	12--20	0	the warrenty expired the	0.0
156	1071_0	i contacted acer and they are giving me free recovery dvds so don t go and pay for them just ask for them and they should give them to you	recovery dvds	45--58	1	giving free recovery dvds	1.0
157	388_1	the processor is very quick and effective as i load webpages and applications	applications	65--77	0	webpages applications	0.0
158	1179_1	first you ll discover that the word processing program known as appleworks rarely translates perfectly on anyone else s computer if it translates at all	word processing program	32--55	-1	the word processing program known computer	0.0
159	1746_4	screen keyboard and mouse if you cant see yourself spending the extra money to jump up to a mac the beautiful screen responsive island backlit keyboard and fun multi touch mouse is worth the extra money to me alone	multi touch mouse	165--182	1	screen keyboard mouse beautiful screen responsive backlit keyboard fun multi touch mouse	1.0
160	1960_0	all in all a very disappointing experience except that i learned how good the geek squad is and also customer service	customer service	102--118	1	how good is also customer service	1.0
161	1819_1	it didn t come with any software installed outside of windows media but for the price i was very pleased with the condition and the overall product	windows media	54--67	0	installed outside of windows media	0.0
162	2954_0	it is loaded with programs that is of no good for the average user that makes it run way to slow	programs	18--26	-1	loaded with programs good average user way	1.0
163	357_0	keyboard is reasonable size	keyboard	0--8	1	keyboard reasonable size	0.0
164	2236_3	also you may need to charge it once a day if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it	charge	21--27	0	need to charge it once day to it	0.0
165	1470_0	the computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan	fan	156--159	-1	the taking the just to clean out the fan	1.0
166	1372_0	we have had numerous problems with vista such as adobe flash player just quits and has to be uninstalled and then reinstalled internet explore just quits and you lose whatever you were working on also the same windows update has appeared on this computer since we got it and has been updated probably 400 times the same update	vista	37--42	-1	numerous problems with vista	-1.0
167	1745_0	though the picture video and music software is nowhere close to professional grade software im used to cs5 but does the job for beginner and even intermediate media designers	music software	31--45	-1	though picture music software is close to professional grade software used to	0.0
168	1373_1	i noticed windows has a new system called windows 7 what about us vista users they should get all the bugs out of vista before investing in a new system	vista	67--72	0	has what about us vista users bugs out of vista	0.0
169	2291_0	there is no need to open a program first and the click open or import	program	27--34	1	open a program open	0.0
170	1595_3	its pretty fast and does not have hiccups while i am using it for web browsing uploading photos watching movies 720p on occasion and creating presentations	creating presentations	137--159	1	uploading creating presentations	1.0
171	1376_0	it seems they could have updated xp and done without creating vista	xp	33--35	1	have updated xp	1.0
172	1620_0	i will never go back to windows	windows	24--31	-1	go to windows	0.0
173	400_2	the quality engineering design and warranty are superior covers damage from dropping the laptop	warranty	36--44	1	design warranty are superior covers	1.0
174	2660_0	the body is a bit cheaply made so it will be interesting to see how long it holds up	body	4--8	-1	the body made so it will be interesting see it	1.0
175	2534_1	but the machine is awesome and ilife is great and i love snow leopard x	snow leopard x	57--71	1	snow leopard	0.0
176	2187_1	compared to similarly spec d pcs this machine is good value well built and works easily right out of the box	built	67--72	1	good value well built	1.0
177	2225_1	i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program	vmware program	95--109	0	the using the vmware program	0.0
178	374_3	love the graphics awesome programs including garageband and really cool default background	default background	76--94	1	cool default background	1.0
179	1192_0	the other lock up problems are from a myriad of causes the most common being a corrupted version of appleworks which can render the browser useless	appleworks	101--111	-1	of common corrupted version of appleworks	0.0
180	1494_0	i made a photo book as a gift on my computer pushed buy and it drew from my itunes account and sent the book to my house the book was of perfect quality exactly how i had created it and looked better than i had even imagined	itunes	80--86	0	itunes account	0.0
181	995_0	it did fairly well other than it s poor performance overheating and occasional blue screen	performance	41--52	-1	did other than it s poor performance overheating and occasional blue screen	-1.0
182	1564_0	the display is awesome	display	4--11	1	the display is awesome	1.0
183	2749_0	love that it doesn t take up space like a regular computer	space	29--34	1	take space regular computer	0.0
184	577_1	it gives me the power and speed that i need to run all the programs i use to edit	speed	26--31	1	power speed	0.0
185	1037_0	the driver updates don t fix the issue very frustrating	driver updates	4--18	-1	the driver updates don	0.0
186	61_0	what i d like is for the laptop to run well without having to purchase additional memory	memory	82--88	-1	purchase additional memory	0.0
187	27_0	the ease of set up was terrific	set up	12--18	1	ease of set up was terrific	1.0
188	2407_1	you can even run a parallels type program easily and run any leftover pc software that you absolutely cannot be without	software	73--81	1	run run any leftover pc software	0.0
189	3055_1	it has a 1 ghz faster processor and a stock 500gb hard drive	500gb hard drive	45--61	1	stock 500gb hard drive	-1.0
190	515_1	they said that my computer was covered on an extended warranty and that products with extended warranties are taken care of through third parties and not sony itself anymore	extended warranties	88--107	0	extended warranty products with extended warranties	0.0
191	237_2	i had my iworks itunes email ms office network and printers set up and completely working perfectly within an hour	ms office	32--41	1	iworks ms office	0.0
192	1574_1	i love the operating system and the preloaded software	preloaded software	36--54	1	the system the preloaded software	0.0
193	464_0	they went through asking me open up various components taking battery out hard disk apart and after 2 hours on phone could not fix it	battery	63--70	0	taking battery	0.0
194	1878_2	1 you can not change your desktop background window s 7 starter does not support that function	function	87--95	-1	support that function	1.0
195	3034_0	if you buy this don t go into it expecting 7 hrs of battery life and you ll be perfectly satisfied	battery life	57--69	-1	hrs of battery life	0.0
196	2509_1	not only are the versions of these programs able to be saved worked on and opened on both a pc and mac the versions of these programs on a mac are graphically and functionally superior	programs	127--135	1	are versions of these programs able saved and and mac versions of these programs mac are graphically and functionally superior	1.0
197	84_2	while i mostly use it for email internet and gaming i m confident all other applications live up to the high standard i ve come to appreciate from mac laptops	gaming	46--52	0	email gaming	0.0
198	3007_0	the only problem is that i had to add 1 gb ram the computer was kinda slow	ram	43--46	-1	add 1 gb ram	0.0
199	2976_0	they only stay charged a little over an hour	charged	15--22	-1	stay charged a little hour	-1.0
200	2636_0	the key bindings take a little getting used to but have loved the macbook pro	key bindings	4--16	-1	the key bindings take a little the	0.0
201	2233_0	u can do what u want in just few seconds even to start up your computer takes few seconds	start up	50--58	1	to start up computer takes	0.0
202	823_1	it gets stuck all of the time you use it and you have to keep tapping on it to get it to work	work	92--96	-1	to to get to work	0.0
203	1926_1	again in february my computer completely failed to the point that it could not load windows so i contacted acer to get it fixed thru my warrenty and it took about 3 days fighting on the phone with agents and it seemed as though none of them spoke english	warrenty	136--144	0	my it get it fixed thru my warrenty it it	0.0
204	3022_0	it s still beautiful and has better color reproduction than i could ever expect from a notebook	color reproduction	36--54	1	beautiful has better color reproduction	1.0
205	454_0	the built in webcam is great for skype and similar video chat services	built in webcam	4--19	1	the built in webcam is great skype and similar video services	1.0
206	2385_0	i ve been impressed with the battery life and the performance for such a small amount of memory	battery life	29--41	1	impressed with the battery life and the performance	1.0
207	2381_0	still testing the battery life as i thought it would be better but am very happy with the upgrade	battery life	18--30	-1	testing the battery life the	0.0
208	1072_0	newer s rma service was great as always i contacted them late friday night and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday	rma service	9--20	1	newer s rma service was great contacted rma number	1.0
209	144_1	i thought the price was great for the specs	specs	38--43	1	thought the price was great for the specs	1.0
210	1543_0	i wiped nearly everything off of it installed openoffice and firefox and i am operating an incredibly efficient and useful machine for a great price	openoffice	47--57	0	installed openoffice and firefox and efficient and useful	1.0
211	496_2	setting would change for some reason the screen size would change on it s own like the pixel sizes and whatnot	pixel sizes	89--100	-1	change the change on it s own like the pixel sizes and whatnot	1.0
212	156_0	it had a cooling system malfunction after 10 minutes of general use and would not move past this error	cooling system	9--23	-1	cooling system malfunction	0.0
213	220_0	although the price is higher then dell laptops the macbooks are worth the dough	price	13--18	-1	the price laptops the the	0.0
214	2511_2	bigger hd better graphics card and a bid hd	graphics card	18--31	1	hd better graphics card and hd	1.0
215	1722_0	after talking it over with the very knowledgeable sales associate i chose the macbook pro over the white macbook	sales associate	50--65	1	talking with the very knowledgeable sales associate the the	0.0
216	659_0	i reinstalled windows through the recovery discs and everything seemed good again	windows	14--21	1	reinstalled windows	0.0
217	458_0	in the first moth of owning this computer its hardrive failed which had to be replaced	hardrive	46--54	-1	its hardrive failed	-1.0
218	755_0	summary hp knew they were shipping out bad bios and did nothing proactive to resolve it	bios	44--48	-1	shipping bad bios	-1.0
219	1707_0	i love this program it is superior to windows movie maker	program	12--19	1	love this program it is superior maker	1.0
220	1393_0	the mouse buttons are hard to push	mouse buttons	4--17	-1	the mouse buttons are hard push	-1.0
221	2565_0	i just took the broken cords into the apple store and they gave me new ones	cords	23--28	1	took the broken cords the	-1.0
222	162_0	awesome cooling system much better grafts card ati 5870 8gb ram led backlit screen	cooling system	10--24	1	awesome cooling system better grafts	1.0
